Invocation Param,Invocation Value,task,tool,time,ram
,,5,BIDS-example,1.5310589042053222,48.14453125
,,5,BIDS-example,2.03488886026001,48.5546875
,,5,BIDS-example,2.5391741958007814,48.5546875
,,5,BIDS-example,3.0439809527740485,48.57421875
,,5,BIDS-example,3.5480459895477297,48.64453125
,,5,BIDS-example,4.052319880996704,48.64453125
,,5,BIDS-example,4.557075854812622,48.64453125
,,5,BIDS-example,5.062348958526611,48.64453125
,,5,BIDS-example,5.5670169558868405,48.64453125
,,5,BIDS-example,6.071797009979247,48.64453125
,,5,BIDS-example,6.576177236114503,48.64453125
,,5,BIDS-example,7.081102010284424,48.64453125
,,5,BIDS-example,7.585702773605346,48.64453125
,,5,BIDS-example,8.091460105453491,48.64453125
,,5,BIDS-example,8.596170064483642,48.6484375
,,5,BIDS-example,9.101253148590088,48.6484375
,,5,BIDS-example,9.604932185684202,48.65234375
,,5,BIDS-example,10.111729976211546,48.6640625
,,5,BIDS-example,10.61616098550415,48.6640625
,,5,BIDS-example,11.121188994918823,48.6640625
,,5,BIDS-example,11.62572490838623,48.6640625
,,5,BIDS-example,12.130634900604248,48.66796875
,,5,BIDS-example,12.634362098251342,48.66796875
,,5,BIDS-example,13.141437884841919,48.671875
,,5,BIDS-example,13.646308061157225,48.671875
,,5,BIDS-example,14.150939818893432,48.67578125
,,5,BIDS-example,14.6548441615448,48.67578125
,,5,BIDS-example,15.159835931335447,48.6796875
,,5,BIDS-example,15.66454612878418,48.68359375
,,5,BIDS-example,16.16919815209961,48.68359375
,,5,BIDS-example,16.67331993249512,48.68359375
,,5,BIDS-example,17.177698966537477,48.68359375
,,5,BIDS-example,17.683510896240236,48.68359375
,,5,BIDS-example,18.187542077575685,48.69140625
,,5,BIDS-example,18.69233309892273,48.69140625
,,5,BIDS-example,19.197353002105714,48.69140625
,,5,BIDS-example,19.70217001107788,48.69140625
,,5,BIDS-example,20.206890937362672,48.69140625
,,5,BIDS-example,20.711041089569093,48.6953125
,,5,BIDS-example,21.21558797029114,34.94921875
,,5,BIDS-example,21.459363099609376,34.95703125
bids_dir,/data/ds114/,6,BIDS-example,,
output_dir_name,/data/ds114/derivatives/bids-example/,6,BIDS-example,,
analysis_level,participant,6,BIDS-example,,
participant_label,['07'],6,BIDS-example,,
